image_index,condition_id,filename,df1_A,df2_A,astig_A,astig_angle_deg,mean_defocus_A,kV,Cs_mm,apix_A,amp_contrast,phase_shift_rad
1,1,Example_200nm_0nm.mrc,2000,2000,0,0,2000,300,2.7,2,0.12,0
2,2,Example_325nm_50nm.mrc,3000,3500,500,15,3500,300,2.7,2,0.12,0
3,3,Example_400nm_0nm.mrc,4000,4000,0,30,4000,300,2.7,2,0.12,0
4,4,Example_300nm_200nm.mrc,2000,4000,2000,45,4000,300,2.7,2,0.12,0
5,5,Example_975nm_50nm.mrc,9500,10000,500,60,10000,300,2.7,2,0.12,0
6,6,Example_1500nm_200nm.mrc,14000,16000,2000,75,16000,300,2.7,2,0.12,0
7,7,Example_5000nm_0nm.mrc,50000,50000,0,90,50000,300,2.7,2,0.12,0
8,8,Example_4150nm_1700nm.mrc,33000,50000,17000,110,50000,300,2.7,2,0.12,0
9,9,Example_0nm_1000nm.mrc,-5000,5000,10000,135,5000,300,2.7,2,0.12,0
10,10,Example_50nm_500nm.mrc,-2000,3000,5000,160,3000,300,2.7,2,0.12,0
11,11,Example_550nm_500nm.mrc,3000,8000,5000,5,8000,300,2.7,2,0.12,0
12,12,Example_8500nm_3000nm.mrc,70000,100000,30000,120,100000,300,2.7,2,0.12,0
